State;Name;Institution Type;Phone Number;Website;
AZ;Central Arizona College;HSI;(520) 494-5444;www.centralaz.edu;
AZ;South Mountain Community College;HSI;(602) 243-8000;www.southmountaincc.edu;
AZ;Phoenix College;HSI;(602) 285-7800;www.phoenixcollege.edu;
AZ;Gatweay Community College;HSI;(602) 286-8000;www.gatewaycc.edu;
AZ;American Indian College of the Assemblies of God Inc.;AANAPISI;(602) 944-3335;www.aicag.edu;
AZ;Estrella Mountai Community College;AANAPISI;(623) 935-8000;http://www.estrellamountain.edu;
AZ;Arizona Western College;HSI;(928) 317-6000;https://www.azwestern.edu;
AZ;Diné College;HSI;(928) 724-6671;www.dinecollege.edu;
CA;University of California, Merced;AANAPISI;(209) 228-4400;www.ucmerced.edu;
CA;University of California-Merced ;HSI;(209) 228-4400;http://www.ucmerced.edu;
CA;Merced College;AANAPISI, HSI;(209) 384-6000;www.mccd.edu;
CA;Humphreys College-Stockton and Modesto ;HBCU;(209) 478-0800;www.humphreys.edu;
CA;Modesto Junior College ;HSI;(209) 575-6550;www.mjc.edu;
CA;California State University-Stanislaus;AANAPISI, HSI;(209) 667-3122;www.csustan.edu;
CA;San Joaquin Delta College;AANAPISI, HSI;(209) 833-7900;www.deltacollege.edu;
CA;University of the Pacific;AANAPISI;(209) 946-2285;www.pacific.edu;
CA;University of Southern California;AANAPISI;(213) 740-2311;http://www.usc.edu;
CA;Los Angeles Trade Technical College ;HSI;(213) 763-7000;www.lattc.edu;
CA;Los Angeles Harbor College;AANAPISI, HSI;(310) 233-4000;www.lahc.edu/;
CA;California State University-Dominguez Hill;AANAPISI, HSI;(310) 243-3696;www.csudh.edu;
CA;West Los Angeles College ;HSI;(310) 287-4200;www.wlac.edu;
CA;Santa Monica College;AANAPISI, HSI;(310) 434-4000;www.smc.edu;
CA;El Camino Community College ;AANAPISI;(310) 660-3593;www.elcamino.edu;
CA;El Camino Community College District;HSI;(310) 660-3593;www.elcamino.edu;
CA;Otis College of Art and Design;AANAPISI;(310) 665-6800;www.otis.edu;
CA;El Camino College-Compton Center ;HSI;(310) 900-1600;www.compton.edu;
CA;Mount St. Mary's College;AANAPISI, HSI;(310) 954-4250;www.msmc.la.edu;
CA;Los Angeles ORT College ;AANAPISI, HSI;(323) 248-8555 ;http://www.laort.edu/;
CA;East Los Angeles College;AANAPISI, HSI;(323) 265-8650;www.elac.edu;
CA;California Satate University-Los Angeles;AANAPISI;(323) 343-3000;www.calstatela.edu;
CA;California State University-Los Angeles;HSI;(323) 343-3000;www.calstatela.edu;
CA;Los Angeles City College;AANAPISI, HSI;(323) 953-4000;www.lacitycollege.edu/;
CA;Los Angeles County College of Nursing and Allied Health;AANAPISI, HSI;(323)226-4911;www.ladhs.org/wps/portal/CollegeOfNursing;
CA;Evergreen Valley College;AANAPISI, HSI;(408) 274-7900;www.evc.edu;
CA;San Jose City College;HSI;(408) 288-3708;www.sjcc.edu;
CA;West Valley College;AANAPISI;(408) 741-2001;www.westvalley.edu;
CA;Gavilan College ;AANAPISI;(408) 848-4800;www.gavilan.edu;
CA;De Anza College;HSI;(408) 864-5300;www.deanza.edu;
CA;San Jose State University;AANAPISI, HSI;(408) 924-1000;www.sjsu.edu;
CA;Mission College;AANAPISI;(408) 988-2200;www.missioncollege.org;
CA;University of San Francisco;AANAPISI;(415) 422-5555;www.usfca.edu;
CA;California College of the Arts;AANAPISI;(415) 703-9500;www.cca.edu;
CA;City College of San Francisco;AANAPISI;(415) 920-6000;www.ccsf.edu;
CA;Contra Costa College ;AANAPISI, HSI;(510) 235-7800;www.contracosta.edu;
CA;Holy Names University;AANAPISI;(510) 436-1000;http://www.hnu.edu;
CA;Laney College;AANAPISI;(510) 466-7200;www.laney.edu;
CA;College of Alameda;HSI;(510) 522-7221;www.alameda.peralta.edu;
CA;Merritt College;AANAPISI;(510) 531-4911;www.merritt.edu;
CA;Ohlone Community College;AANAPISI;(510) 659-6000;www.ohlone.edu;
CA;Chabot College;AANAPISI, HSI;(510) 723-6600;www.chabotcollege.edu;
CA;California State University-East Bay;AANAPISI;(510) 885-3000;www.csueastbay.edu;
CA;Berekly City College;AANAPISI;(510) 981-2800;www.berkeleycitycollege.edu;
CA;Woodland Community College ;HSI;(530) 661-5700;www.wcc.yccd.edu;
CA;Yuba College;AANAPISI;(530) 788-0973;www.yc.yccd.edu;
CA;California Christian College;HSI;(559) 251-4215;ww.calchristiancollege.edu;
CA;California State University-Fresno;AANAPISI, HSI;(559) 278-4240;www.fresnostate.edu;
CA;Fresno City College;AANAPISI, HSI;(559) 442-4600;www.fresnocitycollege.edu;
CA;Fresno Pacific University ;AANAPISI;(559) 453-2000;www.fresno.edu;
CA;Reedley College ;HSI;(559) 638-3641;www.reedleycollege.edu;
CA;College of the Sequoias ;HSI;(559) 730-3700;www.cos.edu;
CA;Porterville College ;HSI;(559) 791-2200;www.portervillecollege.edu;
CA;West Hills College  ;HSI;(559) 934-2080;www.westhillscollege.com;
CA;Rio Hondo College ;HSI;(562) 692-0921;www.riohondo.edu;
CA;Cerritos College ;AANAPISI, HSI;(562) 860-2451;http://www.cerritos.edu;
CA;Whittier College Whittier;HSI;(562) 907-4200;www.whittier.edu;
CA;Long Beach City College;AANAPISI, HSI;(562) 938-4111;www.lbcc.edu/;
CA;California State University-Long Beach;AANAPISI, HSI;(562) 985-4111;www.csulb.edu;
CA;San Diego Mesa College ;HSI;(619) 388-2600;www.sdmesa.edu;
CA;San Diego City College;AANAPISI, HSI;(619) 388-3400;www.sdcity.edu;
CA;Southwestern College;AANAPISI, HSI;(619) 421-6700;www.swccd.edu;
CA;San Diego State University;HSI;(619) 594-5200;www.sdsu.edu;
CA;Cuyamaca College;AANAPISI;(619) 660-4000;www.cuyamaca.edu;
CA;Pacific Oaks College ;HSI;(626) 529-8061;www.pacificoaks.edu;
CA;Pasadena City College;AANAPISI, HSI;(626) 585-7123;www.pasadena.edu;
CA;Citrus College ;HSI;(626) 963-0323;www.citruscollege.edu;
CA;Canada College;AANAPISI, HSI;(650) 306-3100;www.canadacollege.edu;
CA;Notre Dame de Namur University;AANAPISI, HSI;(650) 508-3600;www.ndnu.edu;
CA;California State University-Fullerton;AANAPISI, HSI;(657) 278-2011;www.fullerton.edu;
CA;College of the Canyons;HSI;(661) 259-7800;www.canyons.edu;
CA;Bakersfield College;HSI;(661) 395-4011;www.bakersfieldcollege.edu;
CA;California State University-Bakersfield;HSI;(661) 654-2782;www.csub.edu;
CA;Antelope Valley College;HSI;(661) 722-6300;www.avc.edu;
CA;Taft College ;HSI;(661) 763-7700;www.taftcollege.edu;
CA;Solano Community College;AANAPISI;(707) 642-8188;www.solano.edu;
CA;Costaline Community College;AANAPISI;(714) 241-6213;www.coastline.edu;
CA;Orange Coast College;AANAPISI;(714) 432-5072;www.orangecoastcollege.edu;
CA;Cypress College ;AANAPISI, HSI;(714) 484-7000;www.cypresscollege.edu;
CA;Santa Ana College ;HSI;(714) 564-6000;www.sac.edu;
CA;Santiago Canyon College ;HSI;(714) 628-4900;www.sccollege.edu;
CA;Fullerton College;AANAPISI, HSI;(714) 992-7000;www.fullcoll.edu;
CA;Victor Valley College ;HSI;(760) 245-4271;www.vvc.edu;
CA;Barstow Community College;HSI;(760) 252-2411;www.barstow.edu;
CA;College of the Desert ;AANAPISI;(760) 346-8041;www.collegeofthedesert.edu;
CA;Imperial Valley College;HSI;(760) 352-8320;www.imperial.edu;
CA;California State University-San Marcos;AANAPISI, HSI;(760) 750-4000;www.csusm.edu;
CA;Palomar College ;HSI;(760) 891-7626;www.palomar.edu;
CA;Palo Verde College ;HSI;(760) 921-5500;www.paloverde.edu;
CA;Napa Valley College;AANAPISI, HSI;(800) 826-1077;www.napavalley.edu;
CA;Ventura College ;HSI;(805) 654-6400;www.venturacollege.edu;
CA;Allan Hancock College;HSI;(805) 922-6966;www.hancockcollege.edu;
CA;Antioch University-Santa Barbara;HSI;(805) 962-8179;www.antiochsb.edu;
CA;Santa Barbara City College ;HSI;(805) 965-0581;www.sbcc.cc.ca.us/;
CA;Oxnard College ;HSI;(805) 986-5800;www.oxnardcollege.edu;
CA;Glendale Community College;HBCU;(818) 240-1000;www.glendale.edu;
CA;Los Angeles Pierce College;AANAPISI, HSI;(818) 346-7777;www.piercecollege.edu/;
CA;Los Angeles Mission College ;HSI;(818) 364-7600;www.lamission.edu/;
CA;Los Angeles ORT College-Van Nuys ;HSI;(818) 646-4714;http://www.laort.edu/;
CA;California State University-Northridge;AANAPISI, HSI;(818) 677-1200;www.csun.edu;
CA;Woodbury University ;HSI;(818) 767-0888;www.woodbury.edu;
CA;Casa Loma College-Van Nuys ;HSI;(818) 785-2726;www.casalomacollege.edu;
CA;Los Angeles Valley College;HSI;(818) 947-2600;www.lavc.edu;
CA;Cabrillo College;HSI;(831) 479-6201;www.cabrillo.edu;
CA;California State University-Monterey Bay Seaside;HSI;(831) 582-3000;csumb.edu;
CA;Monterey Peninsula College;AANAPISI, HSI;(831) 646-4000;www.mpc.edu;
CA;Hartnell College ;Tribal;(831) 755-6700;www.hartnell.edu;
CA;National University;AANAPISI;(858) 642-8000;www.nu.edu;
CA;Mount San Antonio College;AANAPISI;(909) 274-7500;www.mtsac.edu;
CA;Mt. San Antonio College ;HSI;(909) 274-7500;www.mtsac.edu;
CA;Community Christian College ;HBCU;(909) 335-8863;www.cccollege.edu;
CA;San Bernardino Valley College;HSI;(909) 384-4400;www.valleycollege.edu;
CA;California State University-San Bernardino;HSI;(909) 537-5000;www.csusb.edu;
CA;University of La Verne ;HSI;(909) 593-3511;www.laverne.edu;
CA;Chaffey College ;AANAPISI;(909) 652-6000;www.chaffey.edu;
CA;Crafton Hills College ;AANAPISI;(909) 794-2161;www.craftonhills.edu;
CA;California State Polytechnic University-Pomona;AANAPISI, HSI;(909) 869-7659;www.csupomona.edu;
CA;California State University-Sacramento;AANAPISI;(916) 278-6011;www.csus.edu;
CA;American River College;AANAPISI;(916) 484-8011;www.arc.losrios.edu;
CA;Sacramento City College;AANAPISI;(916) 558-2111;http://www.scc.losrios.edu;
CA;Cosumnes River College;HSI;(916) 691-7344;www.crc.losrios.edu;
CA;Los Medanos College;AANAPISI, HSI;(925) 439-2181;www.losmedanos.edu;
CA;Brandman University (Chapman University System);HSI;(949) 341-9800;http://www.brandman.edu;
CA;Laguna College of Art and Design;AANAPISI;(949) 376-6000;www.lcad.edu;
CA;University of California, Irvine;AANAPISI;(949) 824-5011;www.uci.edu;
CA;Riverside Community College ;HSI;(951) 222-8000;www.rcc.edu;
CA;Mt. San Jacinto Community;HSI;(951) 487-6752;http://www.msjc.edu;
CA;La Sierra University ;HSI;(951) 785-2000;www.lasierra.edu;
CA;University of California, Riverside;AANAPISI;(951) 827-1012;www.ucr.edu;
CA;University of California-Riverside ;HSI;(951) 827-1012;www.ucr.edu;
CO;Colorado Heights University ;Tribal;(303) 937-4575;www.chu.edu;
CO;Otero Junior College;HSI;(719) 384-6831;www.ojc.edu;
CO;Pueblo Community College ;HSI;(719) 549-3200;www.pueblocc.edu;
CO;Adams State College ;HSI;(719) 587-7011;www.adams.edu;
CO;Trinidad State Junior College;HSI;(719) 846-5011;www.trinidadstate.edu;
CT;Norwalk Community College;HSI;(203) 857-7000;www.ncc.commnet.edu;
CT;Capital Community College;HSI;(860) 906-5000;www.ccc.commnet.edu;
DC;University of the District of Columbia;HBCU;(202) 274-5012;www.udc.edu;
DC;Howard University;HSI;(202) 806-6100;www.howard.edu;
DE;Delaware State University;HBCU;(302) 857-6060;www.desu.edu;
FL;Hodges University ;AANAPISI;(239) 482-0019;www.hodges.edu;
FL;Saint John Vianney College Seminary Miami;HSI;(305) 223-4561;www.sjvcs.edu;
FL;Miami Dade College ;HSI;(305) 237-1900;www.mdc.edu;
FL;Florida International University ;HBCU;(305) 348-2000;www.fiu.edu;
FL;Polytechnic University of Puerto Rico-Miami ;HSI;(305) 592-7659;www.pupr.edu/miami;
FL;Carlos Albizu University ;HSI;(305) 593-1223;www.mia.albizu.edu;
FL;Saint Thomas University;HSI;(305) 625-6000;www.stu.edu;
FL;Florida Memorial University;Tribal;(305) 626-3600;www.fmuniv.edu;
FL;Bethune-Cookman University;HBCU;(386) 481-2000;www.cookman.edu;
FL;Valencia Community College ;HSI;(407) 299-5000;http://valenciacollege.edu;
FL;Nova Southeastern University;HSI;(800) 541-6682;www.nova.edu;
FL;Trinity International University ;HSI;(847) 945-8800;www.tiu.edu;
FL;Florida Agricultural and Mechanical University;HSI;(850) 599-3000;www.famu.edu;
FL;Edward Waters College;HSI;(904) 470-8000;www.ewc.edu;
FL;Broward College;HSI;(954) 201-6800;www.broward.edu;
FL;Atlantic Institute of Oriental Medicine;HSI;(954) 763-9840;www.atom.edu;
GA;Albany State University;HBCU;(229) 430-4600;www.asurams.edu;
GA;Interdenominational Theological Center;HBCU;(404) 527-7700;www.itc.edu;
GA;Morehouse College;HBCU;(404) 681-2800;www.morehouse.edu;
GA;Spelman College;HBCU;(404) 681-3643;www.spelman.edu;
GA;Morehouse School of Medicine;HBCU;(404) 752-1500;www.msm.edu;
GA;Clark Atlanta University;HBCU;(404) 880-8000;www.cau.edu;
GA;Fort Valley State University;HSI;(478) 825-6211;www.fvsu.edu;
GA;Paine College;HBCU;(706) 821-8200;www.paine.edu;
GA;Savannah State University;HBCU;(912) 358-4778;www.savannahstate.edu;
Guam;Pacific Islands University;AANAPISI;(671) 734-1812;www.piu.edu;
Guam;University of Guam;AANAPISI;(671) 735-2944;www.uog.edu;
Guam;Guam Community College;HBCU;(671) 735-5531;www.guamcc.edu;
HI;Windward Community College;AANAPISI;(808) 235-7400;www.windward.hawaii.edu;
HI;Kauai Community College;AANAPISI, ANNH;(808) 245-8311;www.kauai.hawaii.edu;
HI;Leeward Community College;AANAPISI, ANNH;(808) 455-0011;www.leeward.hawaii.edu;
HI;University of Hawaii, West Oahu;AANAPISI, ANNH;(808) 689-2800;www.westoahu.hawaii.edu;
HI;Kapiolani Community College;AANAPISI, ANNH;(808) 734-9000;www.kapiolani.hawaii.edu;
HI;Chaminade University of Honolulu;AANAPISI, ANNH;(808) 735-4711;www.chaminade.edu;
HI;Honolulu Community College;HSI;(808) 845-9211;www.honolulu.hawaii.edu;
HI;Hawaii Community College;AANAPISI, ANNH;(808) 934-2500;www.hawaii.hawaii.edu;
HI;University of Hawaii at Manoa;AANAPISI, ANNH;(808) 956-8111;www.manoa.hawaii.edu;
HI;University of Hawaii at Hilo;AANAPISI, ANNH;(808) 974-7414;www.uhh.hawaii.edu;
HI;Maui Community College;AANAPISI, ANNH;(808) 984-3500;www.maui.hawaii.edu;
HI;University of Hawaii Maui College;AANAPISI;(808) 984-3500;www.maui.hawaii.edu;
IL;Lexington College;HSI;(312) 226-6294;www.lexingtoncollege.edu;
IL;City Colleges of Chicago-Harold Washington College;HSI;(312) 553-5600;www.ccc.educolleges/washington/Pages/default.aspx;
IL;Illinois Institute of Technology;AANAPISI;(312) 567-3000;www.iit.edu;
IL;City Colleges of Chicago-Malcolm X College;HSI;(312) 850-7000;www.ccc.educolleges/malcolm-x/Pages/default.aspx;
IL;University of Illinois at Chicago;AANAPISI;(312) 996-7000;www.uic.edu;
IL;Waubonsee Community College;HSI;(630) 466-7900;www.waubonsee.edu;
IL;College of DuPage;Tribal;(630) 942-2800;https://www.cod.edu;
IL;Dominican University River Forest;HSI;(708) 366-2490;www.dom.edu;
IL;Triton College;HSI;(708) 456-0300;www.triton.edu;
IL;Morton College;HSI;(708) 656-8000;www.morton.edu;
IL;Northeastern Illinois University;HSI;(773) 583-4050;www.neiu.edu;
IL;City Colleges of Chicago-Wilbur Wright College;HBCU;(773) 777-7900;www.ccc.educolleges/wright/Pages/default.aspx;
IL;City Colleges of Chicago-Richard J Daley College;HSI;(773) 838-7500;http://www.ccc.educolleges/daley/Pages/default.aspx;
IL;City Colleges of Chicago-Harry S Truman College;AANAPSISI, HSI;(773) 907-4000;www.ccc.educolleges/truman/Pages/default.aspx;
IL;Oakton Community College;AANAPISI;(847) 635-1600;https://www.oakton.edu;
IL;Elgin Community College;HBCU;(847) 697-1000;www.elgin.edu;
IL;Harper College;HBCU;(847) 925-6000;www.harpercollege.edu;
IN;Calumet College of Saint Joseph;HSI;(219) 473-4215;http://www.ccsj.edu;
KS;Dodge City Community College;HSI;(620) 225-1321;www.dc3.edu;
KS;Garden City Community College ;HSI;(620) 276-7611;www.gcccks.edu;
KS;Seward County Community College/Area Technical School;HSI;(620) 624-1951;http://www.sccc.edu;
KS;Haskell Indian Nations University;AANAPISI;(785) 749-8479;www.haskell.edu;
KS;Donnelly College ;AANAPISI;(913) 621-8700;www.donnelly.edu;
KY;Kentucky State University;HBCU;(502) 597-6000;www.kysu.edu;
LA;Southern University and A & M College;HBCU;(225) 771-4500;www.subr.edu;
LA;Grambling State University;AANAPISI;(318) 247-3811;www.gram.edu;
LA;Southern University at Shreveport;HBCU;(318) 670-6000;www.susla.edu;
LA;Southern University at New Orleans;HBCU;(504) 286-5000;www.suno.edu;
LA;Xavier University of Louisiana;HBCU;(504) 486-7411;www.xula.edu;
LA;Dillard University;Tribal;(504) 816-4640;www.dillard.edu;
MA;Bunker Hill Community College;AANAPISI;(617) 228-2000;www.bhcc.mass.edu;
MA;University of Massachusetts, Boston;AANAPISI;(617) 287-5000;www.umb.edu;
MA;Urban College of Boston;AANAPISI, HSI;(617) 348-6359;www.urbancollege.edu;
MA;Marian Court College ;HSI;(781) 595-6768;www.mariancourt.edu;
MA;Northern Essex Community College ;HSI;(978) 556-3000;www.necc.mass.edu;
MA;Middlesex Community College;AANAPISI;(800) 818-3434;https://www.middlesex.mass.edu;
Marshall Islands;College of the Marshall Islands;Tribal;(692) 625-3394;www.cmi.edu;
MD;Montgomery College;AANAPISI;(240) 567-1300;www.montgomerycollege.edu;
MD;University of Maryland;AANAPISI;(301) 405-1000;www.umd.edu;
MD;Bowie State University;HBCU;(301) 860-4000;www.bowiestate.edu;
MD;University of Maryland Eastern Shore;HBCU;(410) 651-2200;www.umes.edu;
MD;Coppin State University;AANAPISI;(410) 951-3000;www.coppin.edu;
MD;Morgan State University;HBCU;(443) 885-3333;www.morgan.edu;
MI;Bay Mills Community College;Tribal;(906) 248-3354;www.bmcc.ed;
MI;Keweenaw Bay Ojibwa Community College;Tribal;(906) 353-4600;www.kbocc.org;
MI;Saginaw Chippewa Tribal College;Tribal;(989) 775-4123;www.sagchip.edu;
Micronesia;College of Micronesia, FSM;ANNH, HSI;(691)320-2480;http://www.comfsm.fm;
MN;Leech Lake Tribal College ;Tribal;(218) 335-4200;www.lltc.edu;
MN;Fond du Lac Tribal and Community College;Tribal;(218) 879-0800;www.fdltcc.edu;
MN;White Earth Tribal and Community College;Tribal;(218) 935-0417;www.wetcc.org;
MN;Minnesota State University, Mankato;AANAPISI;(507) 389-1866;www.mnsu.edu;
MN;University of Minnesota, Twin Cities;AANAPISI;(612) 625-5000;www.umn.edu;
MN;Century Community and Technical College;AANAPISI;(651) 779-3200;www.century.edu;
MN;University of St. Thomas;AANAPISI;(651) 962-5000;www.stthomas.edu;
MN;University of St Thomas ;HSI;(651) 962-5000;www.stthomas.edu;
MN;North Hennepin Community College;AANAPISI;(763) 488-0391;www.nhcc.edu;
MN;St. Catherine University;AANAPISI;(800) 945-4599;www.stkate.edu;
MO;Harris-Stowe State University;HSI;(314) 340-3366;www.hssu.edu;
MO;Lincoln University;HBCU;(573) 681-5000;www.lincolnu.edupages/1.asp;
MS;Rust College;HBCU;(601) 252-8000;www.rustcollege.edu;
MS;Hinds Community College-Utica;HSI;(601) 857-5261;www.hindscc.edu;
MS;Alcorn State University;HBCU;(601) 877-6100;www.alcorn.edu;
MS;Tougaloo College;HBCU;(601) 977-7700;www.tougaloo.edu;
MS;Jackson State University;HBCU;(601) 979-2121;www.jsums.edu;
MS;Mississippi Valley State University;HBCU;(662) 254-9041;www.mvsu.edu;
MS;Coahoma Community College;HSI;(662) 627-2571;www.coahomacc.edu;
MT;Salish Kootenai College;Tribal;(406) 275-4800;www.skc.edu;
MT;Blackfeet Community College;Tribal;(406) 338-7755;www.bfcc.org;
MT;Aaniiih Nakoda College ;Tribal;(406) 353-2607;www.fbcc.edu;
MT;Stone Child College;Tribal;(406) 395-4875;http://www.stonechild.edu;
MT;Little Big Horn College ;Tribal;(406) 638-3100;www.lbhc.edu;
MT;Fort Peck Community College ;HBCU;(406)768-6300;www.fpcc.edu;
MT;Chief Dull Knife College ;HSI;(406) 477-6215;www.cdkc.edu;
NC;Elizabeth City State University;HSI;(252) 335-3400;www.ecsu.edu;
NC;North Carolina A & T State University;HBCU;(336) 334-7500;www.ncat.edu;
NC;Bennett College for Women;HBCU;(336) 517-2100;www.bennett.edu;
NC;Winston-Salem State University;HBCU;(336) 750-2000;www.wssu.edu;
NC;Livingstone College;HBCU;(704) 216-6000;www.livingstone.edu;
NC;Johnson C Smith University;HBCU;(704) 378-1000;www.jcsu.edu;
NC;Fayetteville State University;HBCU;(910) 672-1111;www.uncfsu.edu;
NC;Saint Augustine's College;HBCU, HSI;(919) 516-4000;www.st-aug.edu;
NC;North Carolina Central University;HBCU;(919) 530-6100;www.nccu.edu;
NC;Shaw University;HBCU;(919) 546-8200;www.shawu.edu;
ND;United Tribes Technical College;Tribal;(701) 255-3285;www.uttc.edu;
ND;Turtle Mountain Community College ;Tribal;(701) 477-7862;www.turtle-mountain.cc.nd.us;
ND;Fort Berthold Community College ;Tribal;(701) 627-4738;www.fortbertholdcc.edu;
ND;Cankdeska Cikana Community College;Tribal;(701) 766-4415;www.littlehoop.edu;
ND;Sitting Bull College;Tribal;(701) 854-3861;www.sittingbull.edu;
NE;Nebraska Indian Community College;Tribal;(402) 837-5078;www.thenicc.edu;
NE;Little Priest Tribal College;Tribal;(402) 878-2380;www.lptc.bia.edu;
NJ;New Jersey City University ;HSI;(201) 200-2000;https://www.njcu.edu;
NJ;Stevens Institute of Technology;AANAPISI;(201) 216-5194;www.stevens.edu;
NJ;Bergen Community College ;HSI;(201) 447-7100;www.bergen.edu;
NJ;Hudson County Community College ;HSI;(201) 714-7100;www.hccc.edu;
NJ;Middlesex County College;AANAPISI;(732) 548-6000;www.middlesexcc.edu;
NJ;Saint Peter’s College;AANAPISI, HSI;(888) 772-9933;www.saintpeters.edu;
NJ;Union County College ;HSI;(908) 709-7000;www.ucc.edu;
NJ;Passaic County Community College ;HSI;(973) 684-6800;www.pccc.edu;
NM;Central New Mexico Community College ;HBCU;(505) 224-3000;www.cnm.edu;
NM;University of New Mexico;HSI;(505) 277-0111;www.unm.edu;
NM;New Mexico State University-Grants ;HSI;(505) 287-6678;www.grants.nmsu.edu;
NM;Southwestern Indian Polytechnic Institute;Tribal;(505) 346 2347;www.sipi.edu;
NM;Institute of American Indian Arts ;Tribal;(505) 424-2300;www.iaia.edu;
NM;New Mexico Highlands University;HSI;(505) 425-7711;www.nmhu.edu;
NM;Santa Fe Community College;HSI;(505) 428-1000;http://www.sfcc.edu;
NM;Luna Community College ;HSI;(505) 454-2500;www.luna.edu;
NM;University of New Mexico-Los Alamos Campus ;HSI;(505) 662-5919;www.la.unm.edu;
NM;Northern New Mexico College ;HSI;(505) 747-2100;www.nnmc.edu;
NM;Navajo Technical College;Tribal;(505) 786-4100;www.navajotech.edu;
NM;University of New Mexico-Valencia County Branch ;HSI;(505) 925-8500;www.vc.unm.edu;
NM;New Mexico State University-Carlsbad ;HSI;(575) 234-9200;www.carlsbad.nmsu.edu;
NM;Eastern New Mexico University-Ruidoso ;HSI;(575) 257-2120;http://www.ruidoso.enmu.edu;
NM;New Mexico Junior College ;HSI;(575) 392-4510;www.nmjc.edu;
NM;University of the Southwest ;HSI;(575) 392-6561;www.usw.edu;
NM;New Mexico State University-Alamogordo;HSI;(575) 439-3600;www.nmsua.edu;
NM;Mesalands Community College ;HSI;(575) 461-4413;www.mesalands.edu;
NM;New Mexico State University-Dona Ana ;HSI;(575) 527-7500;www.dabcc.nmsu.edu;
NM;Western New Mexico University;HSI;(575) 538-6011;www.wnmu.edu;
NM;Eastern New Mexico University;HSI;(575) 562-1011;www.enmu.edu;
NM;Eastern New Mexico University-Roswell Campus ;HSI;(575) 624-7000;www.roswell.enmu.edu;
NM;New Mexico State University;HSI;(575) 646-2019;www.nmsu.edu;
NM;University of New Mexico-Taos Branch;HSI;(575) 737-6200;www.taos.unm.edu;
NM;Clovis Community College ;HBCU;(575) 769-2811 ;www.clovis.edu;
NM;New Mexico Institute of Mining and Technology ;HSI;(800) 428-8324;www.nmt.edu;
NV;College of Southern Nevada;HSI;(702) 651-2650;www.csn.edu;
NV;University of Nevada, Las Vegas;AANAPISI;(702) 895-3011;www.unlv.edu;
NV;Nevada State College;AANAPISI;(702) 992-2000;www.nsc.nevada.edu;
NY;CUNY Borough of Manhattan Community College ;HSI;(212) 220-8000;www.bmcc.cuny.edu;
NY;Professional Business College;HSI;(212) 226-7300;www.pbcny.edu;
NY;CUNY John Jay College of Criminal Justice ;AANAPISI;(212) 237-8000;www.jjay.cuny.edu;
NY;CUNY Hunter College;HSI;(212) 396-6049;www.hunter.cuny.edu;
NY;City College ;AANAPISI;(212) 650-7000;www.ccny.cuny.edu;
NY;CUNY City College;HSI;(212) 650-7000;www.ccny.cuny.edu;
